Steam ID,Avg Assists,Avg Kills,Avg Deaths,Last Hits,Denies,Games Dire,Games Radiant,Total Games,GPM,XPM,Hero Damage,Hero Healing,Level,Wins,Losses,Gold Spent,Tower Damage,KAL,KDA,Winrate
86738694,7.919405321,6.201877934,3.589201878,252.9694836,9.284037559,627,651,1278,523.3215962,525.5109546,17740.93802,100.2376033,19.13693271,667,611,20753.18182,3522.214876,4.512732032,3.934379769,0.521909233
34505203,11.70611285,5.507836991,5.247648903,154.1551724,7.29153605,631,645,1276,420.8275862,449.5485893,12456.03297,742.1877289,17.5846395,792,484,13230.27473,1438.605311,4.043568809,3.280316607,0.620689655
117281554,9.040348101,6.896360759,3.527689873,238.1890823,13.53164557,615,649,1264,515.3544304,521.534019,16848.28788,375.7878788,19.03243671,663,601,18176.5855,3479.428571,5.263905925,4.517604844,0.524525317
91460772,11.20981789,3.634996041,5.102929533,70.57640538,3.951702296,611,652,1263,309.5969913,343.8456057,7610.062295,1078.029508,15.23594616,684,579,9415.846995,362.9551913,3.459580956,2.909076804,0.541567696
73562326,11.23930269,3.992868463,5.213153724,111.2361331,3.740095087,622,640,1262,363.0855784,407.0023772,11613.39327,1271.928363,16.52852615,820,442,11314.99269,912.9488304,3.372643407,2.921872625,0.649762282
10366616,10.32698413,5.277777778,4.451587302,185.1071429,10.58650794,666,594,1260,463.8904762,498.3563492,14032.45549,843.1246291,17.99047619,743,517,14137.80415,1812.513353,4.261375437,3.505437689,0.58968254
53178236,9.613545817,5.667729084,4.286055777,190.7561753,6.349800797,631,624,1255,463.250996,475.4573705,15192.38339,413.6501767,17.67569721,673,582,17161.80212,3446.757951,4.194494919,3.565346719,0.53625498
8712306,9.184504792,4.308306709,4.75399361,159.1142173,7.317092652,626,626,1252,402.1525559,431.8035144,11794.32831,464.9066265,16.7715655,646,606,13051.71687,973.0933735,3.211875099,2.838205645,0.515974441
87382579,10.86131387,3.333333333,5.116788321,87.39497161,3.593673966,641,592,1233,314.0235199,345.1792376,7634.256115,666.4374101,15.43227899,723,510,10369.17266,739.1769784,3.332680275,2.774132192,0.586374696
76600360,10.39593496,2.799186992,5.684552846,49.85609756,2.553658537,616,614,1230,262.7796748,289.7292683,7006.817814,1411.87247,13.58617886,645,585,8640.576923,406.3097166,2.747541143,2.321224256,0.524390244
21289303,7.597233523,6.728234337,3.242473556,249.8356387,16.63466233,614,615,1229,545.369406,547.4727421,15590.46891,145.2331606,19.12449146,715,514,19528.06995,4184.981865,5.288049368,4.418067754,0.5817738
67601693,8.483319772,5.995931652,3.110659072,223.6248983,17.16192026,578,651,1229,510.8787632,522.3474369,12045.52778,170.2972222,18.27908869,719,510,17855.95833,2983.888889,5.384139139,4.654721423,0.585028478
89625472,8.595257563,6.354047424,4.300081766,216.3875715,15.43663123,600,623,1223,521.574816,521.7906787,11301.87821,346.8910256,18.06132461,716,507,16321.82692,2153.689103,4.195815158,3.476516448,0.585445626
25907144,11.22976288,3.224039248,5.435813573,56.35486509,2.80212592,651,572,1223,285.8217498,330.7326247,8217.159174,1543.788578,14.70645953,677,546,8880.18226,514.3390036,3.2672121,2.658995187,0.553556828
98887913,11.59474979,4.136177194,4.522559475,133.3617719,4.916324856,565,654,1219,390.8392125,398.5036916,10833.6084,1039.122689,16.1197703,748,471,12084.80672,1491.468908,3.925779914,3.478323962,0.613617719
88585077,9.07781457,6.670529801,3.406456954,213.0422185,12.76821192,632,576,1208,484.75,500.1109272,17098.38175,222.3947858,18.44122517,716,492,18266.25698,1806.731844,5.322891549,4.62308627,0.592715232
89246836,9.359466222,4.088407006,4.317764804,160.1718098,8.51292744,607,592,1199,409.1534612,424.6246872,9787.754902,559.0065359,16.64386989,645,554,12065.21242,993.0212418,3.732409257,3.114545103,0.53794829
89137399,8.369346734,2.907035176,4.888609715,59.9321608,3.568676717,569,625,1194,272.8190955,298.4832496,4877.839465,1143.123746,13.30737018,663,531,8366.354515,461.0535117,2.700914019,2.306664382,0.555276382
138885864,10.89765101,4.814597315,4.588087248,171.136745,8.026845638,610,582,1192,421.3347315,446.2139262,14715.39329,717.5395973,17.71728188,661,531,15203.24161,1784.416107,4.086644817,3.424574877,0.554530201
91644707,9.887858347,5.92074199,3.676222597,227.2065767,13.90556492,585,601,1186,501.6121417,507.8726813,16264.07174,552.8652174,18.6450253,716,470,16991.69565,2853.947826,5.251101906,4.300229358,0.603709949
123787524,9.702702703,5.254222973,4.723817568,152.1765203,5.146114865,590,594,1184,419.6993243,446.0903716,10165.59227,367.6523605,17.02787162,583,601,12235.61516,1537.384835,3.753070545,3.166279278,0.492398649
149486894,9.745516652,8.625106746,4.018787361,292.7694278,15.470538,583,588,1171,586.3304868,571.5209223,20990.30396,212.7967626,20.62083689,670,501,19995.88129,3152.86241,5.156126524,4.57118572,0.572160547
91698091,10.39845758,3.025706941,5.157669237,140.5998286,6.371893745,512,655,1167,371.1542416,396.3770351,8529.951505,928.8244147,16.23050557,665,502,11940.18395,537.6086957,2.970943029,2.602757933,0.569837189
112250781,10.39313305,6.096137339,4.16223176,195.2274678,8.200858369,549,616,1165,467.5896996,483.7648069,13684.25476,372.2913616,18.19828326,623,542,15324.08492,1612.934114,4.627860594,3.961641576,0.534763949
97590558,9.358572672,6.778938207,4.209747607,232.7824195,9.953872933,655,494,1149,510.6832028,529.2445605,18342.63795,450.9946164,19.04786771,624,525,18579.54913,4128.024226,4.986388078,3.83336779,0.54308094
140153524,11.97110333,3.061295972,5.004378284,65.058669,3.04028021,539,603,1142,285.0359019,324.3765324,7845.83043,1317.831591,15.18301226,653,489,9515.865273,547.9547038,3.432246771,3.003849519,0.571803853
12231202,9.81233244,6.656836461,3.888293119,235.7006256,11.49776586,460,659,1119,501.2493298,520.5826631,17796.54566,171.2180365,19.53798034,585,534,17739.41781,2775.361872,5.192418024,4.235578028,0.522788204
106573901,9.928507596,7.914209115,3.763181412,241.4084004,16.69347632,563,556,1119,542.9052726,560.1867739,18143.28022,199.8208791,19.5049151,702,417,18297.55495,3088.532967,5.784277253,4.741391593,0.627345845
135878232,9.717352415,7.170840787,4.501788909,201.9847943,11.31932021,584,534,1118,502.9874776,517.8765653,16851.50287,256.041109,18.82647585,630,488,16002.56214,2527.910134,4.658671885,3.751440493,0.563506261
123051238,10.35394265,5.447132616,5.452508961,161.6200717,6.884408602,549,567,1116,417.4614695,438.4157706,12884.8296,712.011194,17.03763441,619,497,14766.00124,2511.768657,3.764126215,2.897945768,0.554659498
87197791,10.88309353,4.228417266,5.759892086,104.118705,3.769784173,566,546,1112,346.0548561,377.2248201,8921.932039,909.1128641,15.81205036,536,576,10615.01214,852.2196602,2.98567263,2.623575332,0.482014389
38515149,8.514466546,3.117540687,4.197106691,75.47739602,1.600361664,540,566,1106,297.0804702,322.7088608,5576.35,941.9735294,13.96925859,597,509,9985.852941,541.5735294,3.092142527,2.771434726,0.539783002
